#counter-clockwise spirals
#first spiral
0 -90
300 -105
600 -120
900 -135
1200 -150
1500 -165
1800 -180
2100 -195
2400 -210
2700 -225
3000 -240
3300 -255
3600 -270
3900 -285
4200 -300
4500 -315
4800 -330
5100 -345
5400 -360
5700 -375
6000 -390
6300 -405
6600 -420
6900 -435
7200 -450
7200 -465

#second spiral
900 -45
1200 -60
1500 -75
1800 -90
2100 -105
2400 -120
2700 -135
3000 -150
3300 -165
3600 -180
3900 -195
4200 -210
4500 -225
4800 -240
5100 -255
5400 -270
5700 -285
6000 -300
6300 -315
6600 -330
6900 -345
7200 -360


#third spiral
1800 0
2100 -15
2400 -30
2700 -45
3000 -60
3300 -75
3600 -90
3900 -105
4200 -120
4500 -135
4800 -150
5100 -165
5400 -180
5700 -195
6000 -210
6300 -225
6600 -240
6900 -255
7200 -270

#fourth spiral
2700 45
3000 30
3300 15
3600 0
3900 -15
4200 -30
4500 -45
4800 -60
5100 -75
5400 -90
5700 -105
6000 -120
6300 -135
6600 -150
6900 -165
7200 -180
