#clockwise spirals
#first spiral
0 -90
300 -75
600 -60
900 -45
1200 -30
1500 -15
1800 0
2100 15
2400 30
2700 45
3000 60
3300 75
3600 90
3900 105
4200 120
4500 135
4800 150
5100 165
5400 180
5700 195
6000 210
6300 225
6600 240
6900 255
7200 270
7200 285

#second spiral
900 -135
1200 -120
1500 -105
1800 -90
2100 -75
2400 -60
2700 -45
3000 -30
3300 -15
3600 0
3900 15
4200 30
4500 45
4800 60
5100 75
5400 90
5700 105
6000 120
6300 135
6600 150
6900 165
7200 180

#third spiral
1800 -180
2100 -165
2400 -150
2700 -135
3000 -120
3300 -105
3600 -90
3900 -75
4200 -60
4500 -45
4800 -30
5100 -15
5400 0
5700 15
6000 30
6300 45
6600 60
6900 75
7200 90

#fourth spiral
2700 -225
3000 -210
3300 -195
3600 -180
3900 -165
4200 -150
4500 -135
4800 -120
5100 -105
5400 -90
5700 -75
6000 -60
6300 -45
6600 -30
6900 -15
7200 0
